# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=1.5,timestep=1
Bx,By,Bz
3.845815187932263512e+01,2.362365551260847407e-01,-1.459835315844328285e+01
3.845860159912439258e+01,2.358886340632964651e-01,-1.459819274481522910e+01
3.845717856432394655e+01,2.373559763794124977e-01,-1.455674755758543704e+01
3.845572287977898185e+01,2.388501706160312821e-01,-1.451530902266136991e+01
3.845423458401553773e+01,2.403712030565083035e-01,-1.447387698971845893e+01
3.845271371642650138e+01,2.419190572817082885e-01,-1.443245130862881176e+01
3.845116031547068758e+01,2.434937155832753164e-01,-1.439103183011778420e+01
3.844957441958016631e+01,2.450951582609188772e-01,-1.434961840545756928e+01
3.844795606534660237e+01,2.467233650800691180e-01,-1.430821088712461275e+01
3.844630529024758658e+01,2.483783131143795508e-01,-1.426680912785120903e+01
3.844462213083440361e+01,2.500599781986709291e-01,-1.422541298128263954e+01
3.844290662318834961e+01,2.517683345792274263e-01,-1.418402230183127344e+01
3.844115880338153346e+01,2.535033545495676277e-01,-1.414263694453097742e+01
3.843937870564899839e+01,2.552650099573656739e-01,-1.410125676569272457e+01
3.843756636513666081e+01,2.570532699741787108e-01,-1.405988162195632185e+01
3.843572181607515859e+01,2.588681025976653505e-01,-1.401851137094689115e+01
3.843384509270062210e+01,2.607094739056999844e-01,-1.397714587096835537e+01
3.843193622741572568e+01,2.625773496025472498e-01,-1.393578498165598489e+01
3.842999525355473622e+01,2.644716927306115517e-01,-1.389442856303091745e+01
3.842802220354639076e+01,2.663924652119143421e-01,-1.385307647615345061e+01
3.842601710937676529e+01,2.683396274771711054e-01,-1.381172858297648709e+01
3.842398000305684036e+01,2.703131380806542139e-01,-1.377038474620010078e+01
3.842191091476978215e+01,2.723129552948109211e-01,-1.372904482991990882e+01
3.841980987565738559e+01,2.743390347501940552e-01,-1.368770869868695428e+01
3.841767691596871259e+01,2.763913310254771383e-01,-1.364637621815562518e+01
3.841551206552709630e+01,2.784697972649408104e-01,-1.360504725493827749e+01
3.841331535420128773e+01,2.805743847816856706e-01,-1.356372167646018312e+01
3.841108681003907321e+01,2.827050447004400002e-01,-1.352239935160068995e+01
3.840882646207438000e+01,2.848617255262220205e-01,-1.348108014976083702e+01
3.840653433846284770e+01,2.870443747824523162e-01,-1.343976394150565135e+01
3.840421046742227418e+01,2.892529381991088000e-01,-1.339845059826260432e+01
3.840185487535588749e+01,2.914873613934605423e-01,-1.335713999295706600e+01
3.839946758967606399e+01,2.937475873823202077e-01,-1.331583199908800097e+01
3.839704863692871584e+01,2.960335582582763747e-01,-1.327452649136378326e+01
3.839459804326652659e+01,2.983452147864067427e-01,-1.323322334555681401e+01
3.839211583492684099e+01,3.006824959869141556e-01,-1.319192243836199552e+01
3.838960203634119495e+01,3.030453408630452428e-01,-1.315062364802227002e+01
3.838705667297936941e+01,3.054336858434568702e-01,-1.310932685341579251e+01
3.838447976946051199e+01,3.078474665055643822e-01,-1.306803193468251756e+01
3.838187135050649346e+01,3.102866167220703630e-01,-1.302673877292908067e+01
3.837923143904126988e+01,3.127510704260755281e-01,-1.298544725084615337e+01
3.837656005905081003e+01,3.152407589980831260e-01,-1.294415725180748744e+01
3.837385723368385726e+01,3.177556130266097068e-01,-1.290286866048800185e+01
3.837112298573168800e+01,3.202955618843827956e-01,-1.286158136272159602e+01
3.836835733811184923e+01,3.228605332908941472e-01,-1.282029524536162768e+01
3.836556031195444660e+01,3.254504551234040366e-01,-1.277901019688685658e+01
3.836273192948209498e+01,3.280652527356121007e-01,-1.273772610651639248e+01
3.835987221209763476e+01,3.307048507643105539e-01,-1.269644286481511841e+01
3.835698118134928336e+01,3.333691722352188358e-01,-1.265516036340724781e+01
3.835405885700706108e+01,3.360581404102472858e-01,-1.261387849557059049e+01
3.835110525995803243e+01,3.387716760521902737e-01,-1.257259715536651612e+01
3.834812041028398966e+01,3.415096992676288079e-01,-1.253131623823517060e+01
3.834510432774708732e+01,3.442721290630323394e-01,-1.249003564085711737e+01
3.834205703227999606e+01,3.470588828874398013e-01,-1.244875526101916030e+01
3.833897854204873568e+01,3.498698785246165954e-01,-1.240747499819288535e+01
3.833586887636791829e+01,3.527050312909342789e-01,-1.236619475268591728e+01
3.833272805376575576e+01,3.555642559230722810e-01,-1.232491442622186106e+01
3.832955609296067934e+01,3.584474656441978824e-01,-1.228363392166458823e+01
3.832635301091469415e+01,3.613545740909770987e-01,-1.224235314358442572e+01
3.832311882576387063e+01,3.642854924592809907e-01,-1.220107199742622228e+01
3.831985355487301348e+01,3.672401314269675421e-01,-1.215979039007691931e+01
3.831655721532721515e+01,3.702184006903062596e-01,-1.211850822973220154e+01
3.831322982442787151e+01,3.732202084874973180e-01,-1.207722542576810376e+01
3.830987139773274208e+01,3.762454635690338223e-01,-1.203594188928977005e+01
3.830648195200629402e+01,3.792940722787371821e-01,-1.199465753232302845e+01
3.830306150326087788e+01,3.823659405198124306e-01,-1.195337226836532096e+01
3.829961006725239514e+01,3.854609732805888700e-01,-1.191208601225548591e+01
3.829612765997891444e+01,3.885790741476633503e-01,-1.187079868004824945e+01
3.829261429570858866e+01,3.917201473185673577e-01,-1.182951018954434907e+01
3.828906998994865063e+01,3.948840946193997725e-01,-1.178822045950855113e+01
3.828549475747436759e+01,3.980708175134004545e-01,-1.174692941020122738e+01
3.828188861332464654e+01,4.012802161074452423e-01,-1.170563696312501278e+01
3.827825157081931451e+01,4.045121911981012230e-01,-1.166434304153894885e+01
3.827458364454395934e+01,4.077666412393353701e-01,-1.162304756969871100e+01
3.827088484836808391e+01,4.110434643844753100e-01,-1.158175047337174135e+01
